Date,ROT,Winning Team,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Final,ML
Cleveland,702,h,24,04,26,30,106
Phoenix,707,a,20,16,74,26,100
Toronto,708,h,25,25,06,29,104
New York,709,a,22,18,34,10,86
Houston,710,h,25,27,23,04,91
Indiana,711,a,26,20,23,17,111
Dallas,712,h,27,24,18,22,100
Chicago,713,a,86,25,30,30,97
Utah,714,h,91,24,26,28,95
Atlanta,501,a,22,19,27,38,106
Washington,502,h,19,20,28,35,102
Golden State,503,a,10,30,31,30,114
Miami,504,h,02,36,26,24,97
Detroit,505,a,23,11,31,17,86
Milwaukee,506,h,11,97,26,23,98
Sacramento,507,a,19,19,86,27,99
New Orleans,508,h,30,19,98,16,89
Chicago,509,a,22,26,24,99,109
Denver,510,h,33,21,19,89,114
Washington,703,a,18,28,21,20,87
Cleveland,704,h,31,27,23,32,113
Brooklyn,701,a,87,32,17,23,99
Philadelphia,702,h,13,19,22,26,91
Portland,707,a,27,99,28,17,105
Charlotte,708,h,24,91,26,30,97
Golden State,705,a,34,26,10,31,111
Orlando,706,h,20,21,97,27,96
Toronto,711,a,34,27,19,11,126
Atlanta,712,h,25,13,31,96,115
L.A. Clippers,709,a,34,30,27,35,104
Detroit,710,h,24,37,27,27,98
New York,713,a,12,25,23,24,102
Dallas,714,h,15,27,24,22,109
Sacramento,717,a,32,10,24,18,89
Houston,718,h,25,98,19,27,102
Milwaukee,715,a,31,22,71,10,103
Minnesota,716,h,25,24,14,09,86
Utah,719,a,19,31,23,16,82
Oklahoma City,720,h,37,20,20,25,97
Indiana,721,a,89,26,25,21,100
San Antonio,722,h,02,24,23,23,106
Denver,723,a,31,10,29,19,112
Phoenix,724,h,16,86,31,25,120
Memphis,725,a,14,20,82,27,99
L.A. Lakers,726,h,18,23,97,25,93
Chicago,701,a,24,30,31,24,109
Boston,702,h,35,25,31,11,102
Golden State,703,a,10,28,21,25,106
Charlotte,704,h,02,24,31,25,101
New Orleans,705,a,32,10,15,13,91
Atlanta,706,h,21,01,19,22,100
Dallas,707,a,23,40,91,26,106
Toronto,708,h,21,38,00,21,102
Milwaukee,709,a,22,23,35,10,104
Detroit,710,h,22,21,38,02,88
L.A. Clippers,713,a,25,28,21,30,102
Houston,714,h,29,16,24,19,85
New York,715,a,10,26,30,29,78
Oklahoma City,716,h,88,24,20,28,105
Orlando,711,a,17,10,13,20,83
Indiana,712,h,13,85,30,29,98
Sacramento,717,a,17,28,78,20,104
San Antonio,718,h,23,23,05,26,112
Phoenix,719,a,25,14,24,83,97
Denver,720,h,21,25,26,98,122
Memphis,721,a,22,29,29,24,112
Portland,722,h,26,35,27,24,99
Minnesota,723,a,10,22,25,23,120
L.A. Lakers,724,h,12,33,33,33,119
New Orleans,501,a,18,18,21,23,80
Washington,502,h,23,17,25,18,83
Dallas,503,a,80,28,30,32,110
Philadelphia,504,h,83,26,25,35,103
Charlotte,507,a,20,11,17,11,75
Atlanta,508,h,17,03,28,36,105
Indiana,505,a,23,24,75,21,97
Cleveland,506,h,20,21,05,29,109
L.A. Clippers,511,a,28,22,26,97,112
Utah,512,h,23,35,22,09,96
Houston,509,a,35,27,28,22,117
Milwaukee,510,h,18,32,26,20,103
